#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2023 11 30 21 56  1.1  0.2 11.1  1.1  5.6   N ENE      STEEP  4.6  69
2023 11 30 21 26  1.1  0.2 11.1  1.1  5.6 NNE ENE      STEEP  4.5  66
2023 11 30 20 56  1.1  0.2 10.5  1.0  5.6 NNE ENE      STEEP  4.4  67
2023 11 30 20 26  1.0  0.2 11.1  1.0  5.6 NNE ENE      STEEP  4.2  66
2023 11 30 19 56  1.0  0.2 10.5  1.0  5.6 NNE ENE      STEEP  4.3  70
2023 11 30 19 26  1.1  0.2 11.1  1.1  5.3   N ENE VERY_STEEP  4.3  67
2023 11 30 18 56  1.1  0.2 10.5  1.1  5.3 NNE ENE VERY_STEEP  4.5  69
2023 11 30 18 26  1.1  0.2 10.5  1.0  5.3 NNE ENE VERY_STEEP  4.3  67
2023 11 30 17 56  1.0  0.2 11.1  1.0  5.3 NNE ENE VERY_STEEP  4.1  73
2023 11 30 17 26  1.0  0.2 10.5  1.0  5.0 NNE ENE VERY_STEEP  4.2  69
2023 11 30 16 56  0.9  0.2 10.5  0.9  5.0 NNE ENE VERY_STEEP  4.1  66
2023 11 30 16 26  0.8  0.2 11.8  0.8  5.0 NNE ENE      STEEP  4.2  66
2023 11 30 15 56  0.8  0.2 10.5  0.7  4.8 NNE ENE        N/A  4.4  62
2023 11 30 15 26  0.8  0.2 11.1  0.7  4.8 NNE ENE        N/A  4.5  63
2023 11 30 14 56  0.8  0.2 10.5  0.8  4.5   N ENE        N/A  4.7  62
2023 11 30 14 26  0.7  0.2 11.1  0.7  9.1 NNE NNE        N/A  5.0  22
2023 11 30 13 56  0.7  0.2 11.8  0.7  4.8 NNE ENE        N/A  4.9  60
2023 11 30 13 26  0.7  0.2 10.5  0.7  4.8 NNE ENE        N/A  4.8  66
2023 11 30 12 56  0.7  0.2 11.1  0.7  4.8 NNE ENE        N/A  5.0  67
2023 11 30 12 26  0.7  0.2 10.5  0.6  9.9 NNE NNE        N/A  5.0  18
2023 11 30 11 56  0.7  0.2 10.5  0.7  5.0  NE ENE        N/A  4.9  70
2023 11 30 11 26  0.7  0.2 10.5  0.7  9.9 NNE NNE        N/A  4.9  26
2023 11 30 10 56  0.8  0.2 10.5  0.7  4.8  NE ENE        N/A  4.6  64
2023 11 30 10 26  0.8  0.2 11.1  0.8  9.1 NNE  NE        N/A  4.8  35
